clave_entidad,Nombre_entidad,Clave_distrito,Cabecera_distrital,Clave_mun,region,Nombre_region,Nombre_municipio,seccion,nom_localidad,Tipo,lista_nom,lista_nom_acum,veces_muestra,encuestas_totales,manzanas_meta,latitud ,longitid
21,PUEBLA,2,ZACATLAN,208,7,NORTE,ZACATLAN,2461,ZACATLAN,urbana,1674,3544,1,30,5,,
21,PUEBLA,2,ZACATLAN,208,7,NORTE,ZACATLAN,2463,ZACATLAN,urbana,1694,6884,1,30,5,,
21,PUEBLA,2,ZACATLAN,208,7,NORTE,ZACATLAN,2465,ZACATLAN,urbana,2185,9690,1,30,5,,
21,PUEBLA,2,ZACATLAN,208,7,NORTE,ZACATLAN,2467,ZACATLAN,urbana,1367,12348,1,30,5,,
21,PUEBLA,2,ZACATLAN,208,7,NORTE,ZACATLAN,2470,CAMOTEPEC,rural,2060,2060,1,30,5,,
21,PUEBLA,2,ZACATLAN,208,7,NORTE,ZACATLAN,2471,CRUZTITLA,rural,2234,4294,1,30,3,,
,PUEBLA,2,ZACATLAN,208,7,NORTE,ZACATLAN,2473,AXAXALPAN,rural,2202,9397,1,30,3,,
,PUEBLA,3,ZACATLAN,208,7,NORTE,ZACATLAN,2474,TLALIXTILPA,rural,2202,9397,1,10,3,,
21,PUEBLA,4,ZACATLAN,208,7,NORTE,ZACATLAN,2475,ATEXCA,rural,2202,9397,1,15,3,,
21,PUEBLA,2,ZACATLAN,208,7,NORTE,ZACATLAN,2474,LA LOMA,rural,1836,11233,1,30,5,,
,PUEBLA,2,ZACATLAN,208,7,NORTE,ZACATLAN,2475,MATLAHUACALA,rural,1836,11233,1,15,2,,
,PUEBLA,2,ZACATLAN,208,7,NORTE,ZACATLAN,2478,JICOLAPA CENTRO-EJIDO,rural,4152,19832,1,40,8,,
21,PUEBLA,2,ZACATLAN,208,7,NORTE,ZACATLAN,2478,POXCUATZINGO,rural,4152,19832,1,20,4,,
21,PUEBLA,2,ZACATLAN,208,7,NORTE,ZACATLAN,2480,AYEHUALULCO ,rural,4614,24446,1,30,5,,
,PUEBLA,2,ZACATLAN,208,7,NORTE,ZACATLAN,2481,CUAUTILULCO BARRIO,mixta,5309,5309,1,18,3,,
21,PUEBLA,2,ZACATLAN,208,7,NORTE,ZACATLAN,2481,CUAUTILULCO EJIDO,mixta,5309,5309,1,12,2,,
21,PUEBLA,2,ZACATLAN,208,7,NORTE,ZACATLAN,2482,TLATEMPA,rural,1953,26399,1,30,5,,
,PUEBLA,2,ZACATLAN,208,7,NORTE,ZACATLAN,2484,SAN PEDRO,rural,4205,31758,1,12,10,,
,PUEBLA,2,ZACATLAN,208,7,NORTE,ZACATLAN,2484,SAN PEDRO PAREDONES,rural,4205,31758,1,36,10,,
21,PUEBLA,2,ZACATLAN,208,7,NORTE,ZACATLAN,2484,MAQUIXTLA,rural,4205,31758,1,12,10,,
21,PUEBLA,2,ZACATLAN,208,7,NORTE,ZACATLAN,2485,TOMATLAN,rural,1718,33476,1,30,5,,
,PUEBLA,2,ZACATLAN,208,7,NORTE,ZACATLAN,2488,SAN MIGUEL,rural,700,37826,1,8,4,,
,PUEBLA,2,ZACATLAN,208,7,NORTE,ZACATLAN,2488,XONOTLA,rural,700,37826,1,8,4,,
,PUEBLA,2,ZACATLAN,208,7,NORTE,ZACATLAN,2488,ZOQUITLA,rural,700,37826,1,8,4,,
21,PUEBLA,2,ZACATLAN,208,7,NORTE,ZACATLAN,2488,YEHUALA,rural,700,37826,1,8,4,,
21,PUEBLA,2,ZACATLAN,208,7,NORTE,ZACATLAN,2727,ZACATLAN,urbana,2382,15624,1,30,5,,
21,PUEBLA,2,ZACATLAN,208,7,NORTE,ZACATLAN,2809,ELOXOCHITLAN,rural,2234,42318,1,30,5,,
21,PUEBLA,2,ZACATLAN,208,7,NORTE,ZACATLAN,2895,ATZINGO,rural,2872,45190,1,30,5,,
