clave_entidad,Nombre_entidad,Clave_distrito,Cabecera_distrital,Clave_mun,region,Nombre_region,Nombre_municipio,seccion,nom_localidad,Tipo,lista_nom,lista_nom_acum,veces_muestra,encuestas_totales,manzanas_meta
21,PUEBLA,2,ZACATLAN,208,7,NORTE,ZACATLAN,2461,ZACATLAN,urbana,1674,3544,1,30,5
21,PUEBLA,2,ZACATLAN,208,7,NORTE,ZACATLAN,2463,ZACATLAN,urbana,1694,6884,1,30,5
21,PUEBLA,2,ZACATLAN,208,7,NORTE,ZACATLAN,2465,ZACATLAN,urbana,2185,9690,1,30,5
21,PUEBLA,2,ZACATLAN,208,7,NORTE,ZACATLAN,2467,ZACATLAN,urbana,1367,12348,1,30,5
21,PUEBLA,2,ZACATLAN,208,7,NORTE,ZACATLAN,2470,CAMOTEPEC,rural,2060,2060,1,30,5
21,PUEBLA,2,ZACATLAN,208,7,NORTE,ZACATLAN,2471,CRUZTITLA,rural,2234,4294,1,30,3
21,PUEBLA,2,ZACATLAN,208,7,NORTE,ZACATLAN,2473,AJALALPAN-SANTA INÉS JILOTZINGO-XOXONACATLA,rural,2202,9397,1,30,3
21,PUEBLA,2,ZACATLAN,208,7,NORTE,ZACATLAN,2474,HUEYAPAN,rural,1836,11233,1,30,5
21,PUEBLA,2,ZACATLAN,208,7,NORTE,ZACATLAN,2475,S LAJAS 2A SECCION-METEPEC 2A SECCION,rural,2141,13374,1,30,5
21,PUEBLA,2,ZACATLAN,208,7,NORTE,ZACATLAN,2478,JICOLAPA-POXCUATZINGO,rural,4152,19832,2,60,10
21,PUEBLA,2,ZACATLAN,208,7,NORTE,ZACATLAN,2480,AYEHUALULCO BARRIO,rural,4614,24446,1,30,5
21,PUEBLA,2,ZACATLAN,208,7,NORTE,ZACATLAN,2481,CUAUTILULCO BARRIO-CUAUTILULCO EJIDO,mixta,5309,5309,1,30,5
21,PUEBLA,2,ZACATLAN,208,7,NORTE,ZACATLAN,2482,TLATEMPA,rural,1953,26399,1,30,5
21,PUEBLA,2,ZACATLAN,208,7,NORTE,ZACATLAN,2484,SAN BARTOLO-SAN BARTOLO-MAQUIXTLA,rural,4205,31758,2,60,10
21,PUEBLA,2,ZACATLAN,208,7,NORTE,ZACATLAN,2485,TOMATLAN,rural,1718,33476,1,30,5
21,PUEBLA,2,ZACATLAN,208,7,NORTE,ZACATLAN,2488,CUACUILCO-YEHUALA-ZOQUITLA-TETELANCINGO,rural,700,37826,1,30,4
21,PUEBLA,2,ZACATLAN,208,7,NORTE,ZACATLAN,2727,ZACATLAN,urbana,2382,15624,1,30,5
21,PUEBLA,2,ZACATLAN,208,7,NORTE,ZACATLAN,2809,ELOXOCHITLAN,rural,2234,42318,1,30,5
21,PUEBLA,2,ZACATLAN,208,7,NORTE,ZACATLAN,2895,ATZINGO,rural,2872,45190,1,30,5
